datetime,payment_method,money,coffee_name,day_of_week,year,month,day,hour
2024-03-01 10:15:50.520,card,38.7,latte,Friday,2024,3,1,10
2024-03-01 12:19:22.539,card,38.7,hot chocolate,Friday,2024,3,1,12
2024-03-01 12:20:18.089,card,38.7,hot chocolate,Friday,2024,3,1,12
2024-03-01 13:46:33.006,card,28.9,americano,Friday,2024,3,1,13
2024-03-01 13:48:14.626,card,38.7,latte,Friday,2024,3,1,13
2024-03-01 15:39:47.726,card,33.8,americano with milk,Friday,2024,3,1,15
2024-03-01 16:19:02.756,card,38.7,hot chocolate,Friday,2024,3,1,16
2024-03-01 18:39:03.580,card,33.8,americano with milk,Friday,2024,3,1,18
2024-03-01 19:22:01.762,card,38.7,cocoa,Friday,2024,3,1,19
2024-03-01 19:23:15.887,card,33.8,americano with milk,Friday,2024,3,1,19
2024-03-01 19:29:17.391,card,33.8,americano with milk,Friday,2024,3,1,19
2024-03-02 10:22:06.957,card,28.9,americano,Saturday,2024,3,2,10
2024-03-02 10:30:35.668,cash,40.0,latte,Saturday,2024,3,2,10
2024-03-02 10:41:41.249,card,33.8,americano with milk,Saturday,2024,3,2,10
2024-03-02 11:59:45.484,card,33.8,americano with milk,Saturday,2024,3,2,11
2024-03-02 14:38:35.535,card,28.9,americano,Saturday,2024,3,2,14
2024-03-02 16:37:24.475,card,33.8,americano with milk,Saturday,2024,3,2,16
2024-03-02 17:34:54.969,card,28.9,americano,Saturday,2024,3,2,17
2024-03-03 10:10:43.981,cash,40.0,latte,Sunday,2024,3,3,10
2024-03-03 10:27:18.561,card,38.7,latte,Sunday,2024,3,3,10
2024-03-03 11:33:56.118,card,28.9,cortado,Sunday,2024,3,3,11
2024-03-03 12:26:56.098,card,28.9,americano,Sunday,2024,3,3,12
2024-03-03 13:09:36.321,card,38.7,hot chocolate,Sunday,2024,3,3,13
2024-03-03 17:06:40.271,card,38.7,cocoa,Sunday,2024,3,3,17
2024-03-03 17:08:45.895,card,28.9,cortado,Sunday,2024,3,3,17
2024-03-03 18:03:23.369,card,33.8,americano with milk,Sunday,2024,3,3,18
2024-03-03 18:04:27.946,card,33.8,americano with milk,Sunday,2024,3,3,18
2024-03-03 18:08:04.959,card,38.7,hot chocolate,Sunday,2024,3,3,18
2024-03-04 10:03:51.994,card,38.7,latte,Monday,2024,3,4,10
2024-03-04 10:54:50.958,card,38.7,latte,Monday,2024,3,4,10
2024-03-04 11:05:16.184,card,33.8,americano with milk,Monday,2024,3,4,11
2024-03-04 14:04:37.734,card,24.0,espresso,Monday,2024,3,4,14
2024-03-05 09:59:52.651,card,38.7,latte,Tuesday,2024,3,5,9
2024-03-05 14:34:55.963,card,38.7,latte,Tuesday,2024,3,5,14
2024-03-05 17:34:06.043,card,38.7,latte,Tuesday,2024,3,5,17
2024-03-05 17:35:25.021,card,38.7,hot chocolate,Tuesday,2024,3,5,17
2024-03-05 17:36:28.571,card,38.7,cocoa,Tuesday,2024,3,5,17
2024-03-05 17:37:13.659,card,38.7,hot chocolate,Tuesday,2024,3,5,17
2024-03-05 17:38:09.354,card,38.7,hot chocolate,Tuesday,2024,3,5,17
2024-03-05 17:56:15.776,card,28.9,cortado,Tuesday,2024,3,5,17
2024-03-05 18:01:31.242,card,38.7,hot chocolate,Tuesday,2024,3,5,18
2024-03-06 12:30:27.089,cash,35.0,americano with milk,Wednesday,2024,3,6,12
2024-03-06 13:24:07.667,card,28.9,americano,Wednesday,2024,3,6,13
2024-03-06 13:25:14.351,card,28.9,cortado,Wednesday,2024,3,6,13
2024-03-06 14:52:01.761,card,38.7,cappuccino,Wednesday,2024,3,6,14
2024-03-06 14:53:18.344,card,38.7,cappuccino,Wednesday,2024,3,6,14
2024-03-07 10:08:58.945,cash,40.0,latte,Thursday,2024,3,7,10
2024-03-07 10:18:40.543,card,38.7,hot chocolate,Thursday,2024,3,7,10
2024-03-07 11:03:58.976,card,38.7,latte,Thursday,2024,3,7,11
2024-03-07 11:25:43.977,cash,40.0,latte,Thursday,2024,3,7,11
2024-03-07 15:40:22.606,card,28.9,americano,Thursday,2024,3,7,15
2024-03-07 15:41:28.784,card,33.8,americano with milk,Thursday,2024,3,7,15
2024-03-08 10:34:41.283,card,28.9,cortado,Friday,2024,3,8,10
2024-03-08 12:22:28.653,card,38.7,cappuccino,Friday,2024,3,8,12
2024-03-08 13:53:02.042,card,28.9,americano,Friday,2024,3,8,13
2024-03-08 14:44:12.686,card,28.9,americano,Friday,2024,3,8,14
2024-03-08 14:45:11.048,card,28.9,americano,Friday,2024,3,8,14
2024-03-08 14:46:11.155,card,33.8,americano with milk,Friday,2024,3,8,14
2024-03-08 18:57:51.451,card,38.7,latte,Friday,2024,3,8,18
2024-03-08 18:59:24.941,card,38.7,latte,Friday,2024,3,8,18
2024-03-09 11:49:37.292,cash,40.0,hot chocolate,Saturday,2024,3,9,11
2024-03-09 12:05:15.559,card,24.0,espresso,Saturday,2024,3,9,12
2024-03-09 12:07:38.275,card,28.9,americano,Saturday,2024,3,9,12
2024-03-09 12:09:47.714,card,38.7,cappuccino,Saturday,2024,3,9,12
2024-03-09 12:13:03.521,card,28.9,americano,Saturday,2024,3,9,12
2024-03-09 12:14:26.458,card,28.9,americano,Saturday,2024,3,9,12
2024-03-09 13:09:22.229,card,38.7,latte,Saturday,2024,3,9,13
2024-03-09 13:41:06.167,card,33.8,americano with milk,Saturday,2024,3,9,13
2024-03-09 13:53:10.408,card,28.9,cortado,Saturday,2024,3,9,13
2024-03-09 13:54:36.828,card,38.7,cappuccino,Saturday,2024,3,9,13
2024-03-09 14:08:01.829,card,33.8,americano with milk,Saturday,2024,3,9,14
2024-03-09 14:26:52.873,card,38.7,hot chocolate,Saturday,2024,3,9,14
