datetime,americano,americano with milk,cappuccino,cocoa,cortado,espresso,hot chocolate,irish whiskey,latte
3/1/2024 10:15,0,0,0,0,0,0,0,0,38.7
3/1/2024 12:19,0,0,0,0,0,0,38.7,0,0
3/1/2024 12:20,0,0,0,0,0,0,38.7,0,0
3/1/2024 13:46,28.9,0,0,0,0,0,0,0,0
3/1/2024 13:48,0,0,0,0,0,0,0,0,38.7
3/1/2024 15:39,0,33.8,0,0,0,0,0,0,0
3/1/2024 16:19,0,0,0,0,0,0,38.7,0,0
3/1/2024 18:39,0,33.8,0,0,0,0,0,0,0
3/1/2024 19:22,0,0,0,38.7,0,0,0,0,0
3/1/2024 19:23,0,33.8,0,0,0,0,0,0,0
3/1/2024 19:29,0,33.8,0,0,0,0,0,0,0
3/2/2024 10:22,28.9,0,0,0,0,0,0,0,0
3/2/2024 10:30,0,0,0,0,0,0,0,0,40
3/2/2024 10:41,0,33.8,0,0,0,0,0,0,0
3/2/2024 11:59,0,33.8,0,0,0,0,0,0,0
3/2/2024 14:38,28.9,0,0,0,0,0,0,0,0
3/2/2024 16:37,0,33.8,0,0,0,0,0,0,0
3/2/2024 17:34,28.9,0,0,0,0,0,0,0,0
3/3/2024 10:10,0,0,0,0,0,0,0,0,40
3/3/2024 10:27,0,0,0,0,0,0,0,0,38.7
3/3/2024 11:33,0,0,0,0,28.9,0,0,0,0
3/3/2024 12:26,28.9,0,0,0,0,0,0,0,0
3/3/2024 13:09,0,0,0,0,0,0,38.7,0,0
3/3/2024 17:06,0,0,0,38.7,0,0,0,0,0
3/3/2024 17:08,0,0,0,0,28.9,0,0,0,0
3/3/2024 18:03,0,33.8,0,0,0,0,0,0,0
3/3/2024 18:04,0,33.8,0,0,0,0,0,0,0
3/3/2024 18:08,0,0,0,0,0,0,38.7,0,0
3/4/2024 10:03,0,0,0,0,0,0,0,0,38.7
3/4/2024 10:54,0,0,0,0,0,0,0,0,38.7
3/4/2024 11:05,0,33.8,0,0,0,0,0,0,0
3/4/2024 14:04,0,0,0,0,0,24,0,0,0
3/5/2024 9:59,0,0,0,0,0,0,0,0,38.7
3/5/2024 14:34,0,0,0,0,0,0,0,0,38.7
3/5/2024 17:34,0,0,0,0,0,0,0,0,38.7
3/5/2024 17:35,0,0,0,0,0,0,38.7,0,0
3/5/2024 17:36,0,0,0,38.7,0,0,0,0,0
3/5/2024 17:37,0,0,0,0,0,0,38.7,0,0
3/5/2024 17:38,0,0,0,0,0,0,38.7,0,0
3/5/2024 17:56,0,0,0,0,28.9,0,0,0,0
3/5/2024 18:01,0,0,0,0,0,0,38.7,0,0
3/6/2024 12:30,0,35,0,0,0,0,0,0,0
3/6/2024 13:24,28.9,0,0,0,0,0,0,0,0
3/6/2024 13:25,0,0,0,0,28.9,0,0,0,0
3/6/2024 14:52,0,0,38.7,0,0,0,0,0,0
3/6/2024 14:53,0,0,38.7,0,0,0,0,0,0
3/7/2024 10:08,0,0,0,0,0,0,0,0,40
3/7/2024 10:18,0,0,0,0,0,0,38.7,0,0
3/7/2024 11:03,0,0,0,0,0,0,0,0,38.7
3/7/2024 11:25,0,0,0,0,0,0,0,0,40
3/7/2024 15:40,28.9,0,0,0,0,0,0,0,0
3/7/2024 15:41,0,33.8,0,0,0,0,0,0,0
3/8/2024 10:34,0,0,0,0,28.9,0,0,0,0
3/8/2024 12:22,0,0,38.7,0,0,0,0,0,0
3/8/2024 13:53,28.9,0,0,0,0,0,0,0,0
3/8/2024 14:44,28.9,0,0,0,0,0,0,0,0
3/8/2024 14:45,28.9,0,0,0,0,0,0,0,0
3/8/2024 14:46,0,33.8,0,0,0,0,0,0,0
3/8/2024 18:57,0,0,0,0,0,0,0,0,38.7
3/8/2024 18:59,0,0,0,0,0,0,0,0,38.7
3/9/2024 11:49,0,0,0,0,0,0,40,0,0
3/9/2024 12:05,0,0,0,0,0,24,0,0,0
3/9/2024 12:07,28.9,0,0,0,0,0,0,0,0
3/9/2024 12:09,0,0,38.7,0,0,0,0,0,0
3/9/2024 12:13,28.9,0,0,0,0,0,0,0,0
3/9/2024 12:14,28.9,0,0,0,0,0,0,0,0
3/9/2024 13:09,0,0,0,0,0,0,0,0,38.7
3/9/2024 13:41,0,33.8,0,0,0,0,0,0,0
3/9/2024 13:53,0,0,0,0,28.9,0,0,0,0
3/9/2024 13:54,0,0,38.7,0,0,0,0,0,0
3/9/2024 14:08,0,33.8,0,0,0,0,0,0,0
3/9/2024 14:26,0,0,0,0,0,0,38.7,0,0
3/9/2024 19:17,0,0,38.7,0,0,0,0,0,0
3/9/2024 19:19,0,0,0,0,0,0,38.7,0,0
3/10/2024 7:44,30,0,0,0,0,0,0,0,0
3/10/2024 7:45,0,35,0,0,0,0,0,0,0
3/10/2024 10:06,0,0,0,0,0,0,0,0,40
3/10/2024 11:19,0,0,0,0,0,24,0,0,0
3/10/2024 17:51,0,35,0,0,0,0,0,0,0
3/10/2024 19:34,0,0,0,0,0,0,0,0,38.7
3/10/2024 19:35,0,0,0,0,28.9,0,0,0,0
3/11/2024 10:18,0,0,0,0,0,0,0,0,40
3/11/2024 11:24,0,0,40,0,0,0,0,0,0
3/11/2024 11:24,0,0,0,0,30,0,0,0,0
3/11/2024 11:26,30,0,0,0,0,0,0,0,0
3/11/2024 11:32,0,0,38.7,0,0,0,0,0,0
3/11/2024 16:24,28.9,0,0,0,0,0,0,0,0
3/11/2024 16:25,0,0,0,0,0,0,0,0,38.7
3/11/2024 16:50,0,0,0,0,28.9,0,0,0,0
3/12/2024 10:15,0,0,0,0,0,0,0,0,40
3/12/2024 10:15,28.9,0,0,0,0,0,0,0,0
3/12/2024 10:16,0,0,0,0,28.9,0,0,0,0
3/12/2024 11:20,0,0,0,0,0,0,38.7,0,0
3/12/2024 12:46,0,33.8,0,0,0,0,0,0,0
3/12/2024 12:47,28.9,0,0,0,0,0,0,0,0
3/12/2024 16:15,28.9,0,0,0,0,0,0,0,0
3/13/2024 11:06,0,0,0,0,0,0,38.7,0,0
3/13/2024 11:48,28.9,0,0,0,0,0,0,0,0
3/13/2024 12:18,28.9,0,0,0,0,0,0,0,0
3/13/2024 12:19,28.9,0,0,0,0,0,0,0,0
3/13/2024 12:34,0,0,0,0,0,25,0,0,0
3/13/2024 14:26,0,33.8,0,0,0,0,0,0,0
3/13/2024 15:40,0,0,0,0,0,24,0,0,0
3/13/2024 15:41,0,0,0,0,0,24,0,0,0
3/13/2024 16:47,0,0,0,0,0,24,0,0,0
3/14/2024 10:02,0,0,0,0,0,0,0,0,40
3/14/2024 10:28,0,0,0,0,0,0,0,0,38.7
3/14/2024 10:29,0,0,0,0,0,0,38.7,0,0
3/14/2024 13:27,0,0,0,0,28.9,0,0,0,0
3/14/2024 13:28,28.9,0,0,0,0,0,0,0,0
3/14/2024 13:52,0,33.8,0,0,0,0,0,0,0
3/14/2024 13:52,0,0,0,0,0,24,0,0,0
